Output of simple 2-box model under RCP45 radiative forcing,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.500000,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.500000,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.50000,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      1.50000,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
2030.00,999.000,2.90619,-0.600158,726.792,0.918055,0.942314,1.78262,2.11993
2031.00,999.000,2.99505,-0.591548,737.998,0.928188,0.953024,1.81371,2.15666
2032.00,999.000,3.11018,-0.583098,749.241,0.940514,0.965860,1.85026,2.20007
2033.00,999.000,3.18541,-0.575125,760.521,0.954569,0.980377,1.89112,2.24873
2034.00,999.000,3.23457,-0.567220,771.837,0.969068,0.995336,1.93311,2.29875
2035.00,999.000,3.25759,-0.559362,783.190,0.983096,1.00986,1.97399,2.34738
2036.00,999.000,3.25273,-0.551540,794.580,0.995809,1.02312,2.01169,2.39207
2037.00,999.000,3.24740,-0.543749,806.007,1.00688,1.03481,2.04541,2.43186
2038.00,999.000,3.25896,-0.535986,817.470,1.01678,1.04538,2.07626,2.46811
2039.00,999.000,3.28070,-0.528253,828.970,1.02607,1.05537,2.10567,2.50256
2040.00,999.000,3.30733,-0.520240,840.507,1.03508,1.06510,2.13442,2.53619
2041.00,999.000,3.33830,-0.511636,852.018,1.04399,1.07474,2.16297,2.56956
2042.00,999.000,3.42191,-0.503157,863.503,1.05375,1.08521,2.19369,2.60556
2043.00,999.000,3.53097,-0.495140,874.963,1.06557,1.09767,2.22950,2.64778
2044.00,999.000,3.60036,-0.487195,886.397,1.07899,1.11169,2.26925,2.69481
2045.00,999.000,3.64361,-0.479314,897.805,1.09274,1.12604,2.30983,2.74283
2046.00,999.000,3.66073,-0.471490,909.188,1.10591,1.13985,2.34903,2.78912
2047.00,999.000,3.65005,-0.463722,920.544,1.11768,1.15231,2.38481,2.83119
2048.00,999.000,3.63903,-0.456014,931.876,1.12774,1.16313,2.41640,2.86810
2049.00,999.000,3.64508,-0.448367,943.181,1.13655,1.17276,2.44495,2.90126
2050.00,999.000,3.66048,-0.441811,954.461,1.14470,1.18176,2.47185,2.93238
2051.00,999.000,3.67864,-0.437379,965.572,1.15250,1.19043,2.49771,2.96222
2052.00,999.000,3.69928,-0.434058,976.513,1.16010,1.19891,2.52281,2.99110
2053.00,999.000,3.77228,-0.430792,987.284,1.16845,1.20811,2.54943,3.02183
2054.00,999.000,3.87099,-0.427551,997.886,1.17875,1.21921,2.58059,3.05811
2055.00,999.000,3.92980,-0.424334,1008.32,1.19056,1.23178,2.61521,3.09861
2056.00,999.000,3.96224,-0.421129,1018.58,1.20261,1.24458,2.65021,3.13955
2057.00,999.000,3.96826,-0.417925,1028.68,1.21400,1.25675,2.68341,3.17826
2058.00,999.000,3.94618,-0.414711,1038.60,1.22389,1.26749,2.71279,3.21226
2059.00,999.000,3.92347,-0.411477,1048.35,1.23197,1.27650,2.73761,3.24066
2060.00,999.000,3.91726,-0.408468,1057.94,1.23871,1.28421,2.75902,3.26486
2061.00,999.000,3.92062,-0.405935,1067.29,1.24470,1.29121,2.77844,3.28662
2062.00,999.000,3.92803,-0.403637,1076.40,1.25026,1.29778,2.79664,3.30688
2063.00,999.000,3.93870,-0.401333,1085.28,1.25555,1.30411,2.81405,3.32615
2064.00,999.000,4.00185,-0.399025,1093.92,1.26154,1.31111,2.83303,3.34733
2065.00,999.000,4.09074,-0.396720,1102.32,1.26944,1.31997,2.85658,3.37412
2066.00,999.000,4.13975,-0.394421,1110.49,1.27881,1.33024,2.88363,3.40518
2067.00,999.000,4.16236,-0.392116,1118.42,1.28839,1.34072,2.91110,3.43673
2068.00,999.000,4.15853,-0.389794,1126.11,1.29727,1.35054,2.93678,3.46608
2069.00,999.000,4.12656,-0.387446,1133.57,1.30462,1.35889,2.95867,3.49077
2070.00,999.000,4.09365,-0.385316,1140.80,1.31014,1.36547,2.97600,3.50985
2071.00,999.000,4.07692,-0.383658,1147.71,1.31428,1.37072,2.98987,3.52470
2072.00,999.000,4.06975,-0.382227,1154.33,1.31763,1.37522,3.00171,3.53704
2073.00,999.000,4.06664,-0.380780,1160.64,1.32052,1.37926,3.01230,3.54785
2074.00,999.000,4.06671,-0.379317,1166.65,1.32310,1.38302,3.02206,3.55765
2075.00,999.000,4.11917,-0.377837,1172.36,1.32634,1.38740,3.03335,3.56932
2076.00,999.000,4.19728,-0.376348,1177.76,1.33147,1.39361,3.04918,3.58655
2077.00,999.000,4.23540,-0.374852,1182.86,1.33803,1.40120,3.06846,3.60801
2078.00,999.000,4.24702,-0.373335,1187.66,1.34476,1.40896,3.08811,3.62991
2079.00,999.000,4.23216,-0.371766,1192.15,1.35076,1.41601,3.10594,3.64956
2080.00,999.000,4.18818,-0.371113,1196.34,1.35519,1.42156,3.11986,3.66442
2081.00,999.000,4.14152,-0.372379,1200.53,1.35772,1.42528,3.12895,3.67337
2082.00,999.000,4.11208,-0.373811,1204.73,1.35883,1.42762,3.13431,3.67773
2083.00,999.000,4.09489,-0.374404,1208.93,1.35915,1.42920,3.13756,3.67951
2084.00,999.000,4.08345,-0.374925,1213.13,1.35907,1.43038,3.13967,3.67991
